ID,Airport,City,Country
10085,Mineola Station,Mineola,United States
10086,Merillon Avenue Station,Garden City,United States
10087,New Hyde Park Station,New Hyde Park,United States
10088,Constance Halaveli,Halaveli,Maldives
10089,Lille/Marcq-en-Baroeul Airport,Marcq En Baroeul,France
10091,Knucle Reef,Knucle Reef,Australia
10092,Nika Resort Island,Nika Resort Island,Maldives
10093,W retreat and spa resort,W retreat and spa resort,Maldives
10094,Heli 1,Heli 1,United States
10095,Heli 2,Heli 2,United States
10096,Kawass Airport,Kamsar,Guinea
10097,Homewood Station,Homewood,United States
10098,Kankakee Station,Kankakee,United States
10099,Gilman Station,Gilman,United States
10100,Rantoul Station,Rantoul,United States
10101,French Valley Airport,Murrieta,United States
10102,Stinson Municipal Airport,Stinson,United States
10103,Sallisaw Municipal Airport,Sallisaw,United States
10104,Jasper County Airport-Bell Field,Jasper,United States
10105,El Dorado Springs Memorial Airport,El dorado springs,United States
10106,Marfa Municipal Airport,Marfa,United States
10107,Alpine Casparis Municipal Airport,Alpine,United States
10108,Sea Lion Island,Sea Lion Island,Falkland Islands
10109,Bleaker Island Airport,Bleaker Island,Falkland Islands
10110,Bubaque Airport,Bubaque,Guinea-Bissau
10111,Oshawa Station,Oshawa,Canada
10112,Coburg Station,Coburg,Canada
10113,Fallowfield Station,Ottawa,Canada
10114,Chichen Itza International Airport,Chichen Itza,Mexico
10115,GulfofMexico,Gulf of Mexico - Noble Sam Croft,United States
10116,Bunbury Airport,Bunbury,Australia
10117,Cable Airport,Upland,United States
10118,Verona Porta Nuova,Verona,Italy
10119,Fuvahmulah Airport,Fuvahmulah,Maldives
10120,Sri Jayawardenepura Kotte,Colombo,Sri Lanka
10121,Mount Sterling Montgomery County Airport,Mount Sterling,United States
10122,Elkhart Municipal Airport,Elkhart,United States
10123,Nappanee Municipal Airport,Nappanee ,United States
10124,South Goulburn Island,Warruwi,Australia
10125,Borroloola,Borroloola,Ashmore and Cartier Islands
10126,Manchester Picadilly Station,Manchester,United Kingdom
10127,Abu Rudeis Airport ,Abu Rudeis,Egypt
10128,Jim Hamilton L.B. Owens Airport,Columbia,United States
10129,Grove Municipal Airport,Grove,United States
10130,Mc Pherson Airport,Mc Pherson,United States
10131,Donaldson Center Airport,Greenville,United States
10132,Perry Houston County Airport,Perry,United States
10133,Hartsville Regional Airport,Hartsville,United States
10134,Horace Williams Airport,Chapel Hill,United States
10135,San Cristobal de las Casas Airport,San Cristobal de las Casas,Mexico
10136,Hot Springs Cove Aerodrome,Hot Springs Cove,Canada
10137,Dunnville Airport,Dunnville,Canada
10138,Brunswick County Airport,Oak Island,United States
10139,Chesterfield County Airport,Richmond,United States
10140,Atherton Airport,Atherton,Australia
10141,Bagdarin Airport,Bagdarin,Russia
10142,Scarlett Martinez International Airport,Rio Hato,Panama
10143,Dubai Creek SeaWings Base,Dubai,United Arab Emirates
10144,Henderson Oxford Airport,Oxford,United States
10145,Leesburg International Airport,Leesburg,United States
10146,NIK,NIK,Juan de Nova Island
10148,Semyazino Airport,Vladimir,Russia
10149,Witberg Tswalu Airport,Dedeben,South Africa
10150,Grand Cache,Grand Cache,Canada
10151,Mana Pools Airport,Mana Pools,Zimbabwe
10152,Hazrat Nizamuddin,Delhi,India
10153,Phi Phi,Ko Phi Phi,Thailand
10154,Pouso Alegre Airport,Pouso Alegre,Brazil
10155,Brigadeiro Cabral Airport,Divinopolis,Brazil
10156,Yeysk Airport,Eysk,Russia
10157,Berdyansk Airport,Berdyansk,Ukraine
10158,Blimbingsari,Banyuwangi,Indonesia
10159,Koltur,Koltur,Faroe Islands
10160,Erenhot Saiwusu International Airport,Erenhot,China
10161,Shobdon Aerodrome,Shobdon,United Kingdom
10162,Chino Airport,Chino,United States
10163,Kamigoto Airport,Shin-kamigoto,Japan
10164,Ojika Airport,Odika,Japan
10165,Chofu Airport,Tokyo,Japan
10166,Hateruma Airport,Taketomi,Japan
10167,Buchs,Buchs,Switzerland
10168,Sargans,Sargans,Switzerland
10169,Madison County Airport,London,United States
10170,Playa Baracoa,Havana,Cuba
10171,Las Brujas Airport,Cayo Santa Maria,Cuba
10172,Long Beach,Long Beach,United States
10173,Digby (General Hospital) Heliport,Tremblay-en-France,France
10174,Gare de Chatelet - Les Halles,Paris,France
10175,Aeroport Charles de Gaulle 1,Mauregard,France
10176,Gare de Saint Michel - Notre Dame,Paris,France
10177,Versaille-Chateau,Versaille,France
10178,Thun Airport,Thun,Switzerland
10179,Mount Vernon,Mount Vernon,United States
10180,Durham Amtrak Station,Durham,United States
10181,Plaunt Ferry Terminal,Cheboygan,United States
10182,Bois Blanc Island Ferry Terminal,Bois Blanc Island,United States
10183,Bois Blanc Island Airport,Bois Blanc Island,United States
10184,Lavrentiya Airport,Lavrentiya,Russia
10185,Paso Robles Municipal Airport,Paso Robles,United States
10186,N 104 Helipad,Ulleung,South Korea
10187,Tai'an,Tai'an,China
10188,Phan Thiet,Phan Thiet,Vietnam
10189,Gudvangen,Gudvangen,Norway
10190,Taiwan High Speed Rail Station,Hsinchu,Taiwan
10191,High Speed Rail Station,Tainan,Taiwan
10192,Thingvellir National Park,Selfoss,Iceland
10193,Goteborgs Centralstation,Gothenburg,Sweden
10194,Stockholms Centralstation,Stockholm,Sweden
10195,St Ignace Ferry Terminal,St Ignace ,United States
10196,Le Port de Toulon,Toulon,France
10197,Taiwan High Speed Rail Station,Taichung,Taiwan
10198,Taiwan High Speed Rail Station,Chiayi,Taiwan
10199,Hsinchu Station,Hsinchu,Taiwan
10200,Phaya Thai Station,Bangkok,Thailand
10201,Britomart Transport Centre,Auckland,New Zealand
10202,Johannesburg Park Station,Johannesburg,South Africa
10203,Bryan Station,Bryan,United States
10204,Seoul Station,Seoul,South Korea
10205,Tianjin Railway Station,Tianjin,China
10206,Tianjin South Railway Station,Tianjin,China
10207,Tianjin West Railway Station,Tianjin,China
10208,Dongzhimen Station,Beijing,China
10209,Beijing Daxing International Airport,Beijing,China
10210,Kanpur Central Railway Station,Kanpur,India
10211,Lucknow NR Railway Station,Lucknow,India
10212,Varanasi Junction Railway Station,Varanasi,India
10213,Gaya Junction Railway Station,Gaya,India
10214,Sealdah Railway Station,Kolkata,India
10215,Mumbai Central Railway Station,Mumbai,India
10216,Bangalore City Railway Station,Bangalore,India
10217,Luz Station,Sao Paulo,Brazil
