Country,Region,Population,Pop_density,GDP_per_capita,Literacy_rate
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,109.8,600.0,62.7
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,74.0,9000.0,88.7
Maldives ,ASIA (EX. NEAR EAST)         ,359008,1196.7,3900.0,97.2
Mali ,SUB-SAHARAN AFRICA                 ,11716829,9.5,900.0,46.4
Malta ,WESTERN EUROPE                     ,400214,1266.5,17700.0,92.8
Marshall Islands ,OCEANIA                            ,60422,5.1,1600.0,93.7
Martinique ,LATIN AMER. & CARIB    ,436131,396.5,14400.0,97.7
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,3.1,1800.0,41.7
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,608.3,11400.0,85.6
Mexico ,LATIN AMER. & CARIB    ,107449525,54.5,9000.0,92.2
Micronesia Fed. St. ,OCEANIA                            ,108004,153.9,2000.0,89.0
Moldova ,C.W. OF IND. STATES ,4466706,132.0,1800.0,99.1
Monaco ,WESTERN EUROPE                     ,32543,16271.5,27000.0,99.0
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1.8,1800.0,97.8
Montserrat ,LATIN AMER. & CARIB    ,9439,92.5,3400.0,97.0
Morocco ,NORTHERN AFRICA                    ,33241259,74.4,4000.0,51.7
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,24.6,1200.0,47.8
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,2.5,7200.0,84.0
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,192.2,1400.0,45.2
Netherlands ,WESTERN EUROPE                     ,16491461,397.1,28600.0,99.0
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,231.0,11400.0,96.7
New Caledonia ,OCEANIA                            ,219246,11.5,15000.0,91.0
New Zealand ,OCEANIA                            ,4076140,15.2,21600.0,99.0
Nicaragua ,LATIN AMER. & CARIB    ,5570129,43.0,2300.0,67.5
Niger ,SUB-SAHARAN AFRICA                 ,12525094,9.9,800.0,17.6
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,142.7,900.0,68.0
N. Mariana Islands ,OCEANIA                            ,82459,172.9,12500.0,97.0
Norway ,WESTERN EUROPE                     ,4610820,14.2,37800.0,100.0
Oman ,NEAR EAST                          ,3102229,14.6,13100.0,75.8
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,206.2,2100.0,45.7
Palau ,OCEANIA                            ,20579,44.9,9000.0,92.0
Panama ,LATIN AMER. & CARIB    ,3191319,40.8,6300.0,92.6
Papua New Guinea ,OCEANIA                            ,5670544,12.3,2200.0,64.6
Paraguay ,LATIN AMER. & CARIB    ,6506464,16.0,4700.0,94.0
Peru ,LATIN AMER. & CARIB    ,28302603,22.0,5100.0,90.9
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,298.2,4600.0,92.6
Poland ,EASTERN EUROPE                     ,38536869,123.3,11100.0,99.8
Portugal ,WESTERN EUROPE                     ,10605870,114.8,18000.0,93.3
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,284.8,16800.0,94.1
Qatar ,NEAR EAST                          ,885359,77.4,21500.0,82.5
Reunion ,SUB-SAHARAN AFRICA                 ,787584,312.9,5800.0,88.9
Romania ,EASTERN EUROPE                     ,22303552,93.9,7000.0,98.4
Russia ,C.W. OF IND. STATES ,142893540,8.4,8900.0,99.6
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,328.4,1300.0,70.4
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,18.2,2500.0,97.0
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,149.9,8800.0,97.0
Saint Lucia ,LATIN AMER. & CARIB    ,168458,273.5,5400.0,67.0
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,29.0,6900.0,99.0
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,303.0,2900.0,96.0
Samoa ,OCEANIA                            ,176908,60.1,5600.0,99.7
San Marino ,WESTERN EUROPE                     ,29251,479.5,34600.0,96.0
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,193.2,1200.0,79.3
Saudi Arabia ,NEAR EAST                          ,27019731,13.8,11800.0,78.8
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,61.1,1600.0,40.2
Serbia ,EASTERN EUROPE                     ,9396411,106.3,2200.0,93.0
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,179.2,7800.0,58.0
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,83.7,500.0,31.4
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,6482.2,23700.0,92.5
Slovenia ,EASTERN EUROPE                     ,2010347,99.2,19000.0,99.7
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,13.9,500.0,37.8
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,36.2,10700.0,86.4
Spain ,WESTERN EUROPE                     ,40397842,80.0,22000.0,97.9
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,308.2,3700.0,92.3
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,16.5,1900.0,61.1
Suriname ,LATIN AMER. & CARIB    ,439117,2.7,4000.0,93.0
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,65.5,4900.0,81.6
Sweden ,WESTERN EUROPE                     ,9016596,20.0,26800.0,99.0
Switzerland ,WESTERN EUROPE                     ,7523934,182.2,32700.0,99.0
Syria ,NEAR EAST                          ,18881361,102.0,3300.0,76.9
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,640.3,23400.0,96.1
Tajikistan ,C.W. OF IND. STATES ,7320815,51.2,1000.0,99.4
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,39.6,600.0,78.2
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,125.7,7400.0,92.6
Togo ,SUB-SAHARAN AFRICA                 ,5548702,97.7,1500.0,60.9
Tonga ,OCEANIA                            ,114689,153.3,2200.0,98.5
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,207.9,9500.0,98.6
Tunisia ,NORTHERN AFRICA                    ,10175014,62.2,6900.0,74.2
Turkey ,NEAR EAST                          ,70413958,90.2,6700.0,86.5
Turkmenistan ,C.W. OF IND. STATES ,5042920,10.3,5800.0,98.0
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,49.2,9600.0,98.0
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,119.5,1400.0,69.9
Ukraine ,C.W. OF IND. STATES ,46710816,77.4,5400.0,99.7
United Arab Emirates ,NEAR EAST                          ,2602713,31.4,23200.0,77.9
United Kingdom ,WESTERN EUROPE                     ,60609153,247.6,27700.0,99.0
United States ,NORTHERN AMERICA                   ,298444215,31.0,37800.0,97.0
Uruguay ,LATIN AMER. & CARIB    ,3431932,19.5,12800.0,98.0
Uzbekistan ,C.W. OF IND. STATES ,27307134,61.0,1700.0,99.3
Vanuatu ,OCEANIA                            ,208869,17.1,2900.0,53.0
Venezuela ,LATIN AMER. & CARIB    ,25730435,28.2,4800.0,93.4
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,256.1,2500.0,90.3
Wallis and Futuna ,OCEANIA                            ,16025,58.5,3700.0,50.0
Yemen ,NEAR EAST                          ,21456188,40.6,800.0,50.2
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,15.3,800.0,80.6
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,31.3,1900.0,90.7
