AirlineID,Name,Country,Active
2647,Gum Air,Suriname,N
2648,Guneydogu Havacilik Isletmesi,Turkey,N
2650,Gwyn Aviation,UnitedKingdom,N
2651,HC Airlines,UnitedKingdom,N
2652,HPM Investments,UnitedKingdom,N
2653,HT Helikoptertransport,Sweden,N
2654,HTA Helicopteros,Portugal,N
2656,Hadison Aviation,UnitedStates,N
2657,Hageland Aviation Services,UnitedStates,Y
2658,Hagondale Limited,UnitedKingdom,N
2659,Hahn Air,Germany,N
2660,Hainan Airlines,China,Y
2661,Hainan Phoenix Information Systems,China,N
2662,Haiti Air Freight,Haiti,N
2663,Haiti Ambassador Airlines,Haiti,Y
2664,Haiti International Air,Haiti,N
2665,Haiti International Airline,Haiti,N
2666,Haiti National Airlines (HANA),Haiti,N
2667,Haiti North Airline,Haiti,N
2668,Haiti Trans Air,Haiti,N
2669,Haitian Aviation Line,Haiti,N
2670,Hajvairy Airlines,Pakistan,N
2671,Hak Air,Nigeria,N
2672,Hala Air,Sudan,N
2673,Halcyon Air/Bissau Airways,Guinea-Bissau,N
2674,Hamburg International,Germany,Y
2675,Hamlin Jet,UnitedKingdom,N
2676,Hamra Air,UnitedArabEmirates,N
2677,Hand D Aviation,UnitedStates,N
2678,Hangar 8,UnitedKingdom,N
2679,Hangard Aviation,Mongolia,N
2680,Hansung Airlines,RepublicofKorea,N
2681,TUIfly,Germany,Y
2682,Hapagfly,Germany,Y
2683,Harbor Airlines,UnitedStates,N
2684,Harmony Airways,Canada,N
2685,Haughey Air,UnitedKingdom,N
2686,Haverfordwest Air Charter Services,UnitedKingdom,N
2687,Havilah Air Services,Nigeria,N
2688,Hawaiian Airlines,UnitedStates,Y
2689,Hawaiian Pacific Airlines,UnitedStates,N
2690,Hawk Air,Argentina,N
2691,Hawk De Mexico,Mexico,N
2692,Hawkair,Canada,Y
2693,Hawkaire,UnitedStates,N
2694,Hazelton Airlines,Australia,N
2695,Heavylift Cargo Airlines,Australia,N
2696,Heavylift International,UnitedArabEmirates,N
2697,Helcopteros De Cataluna,Spain,N
2698,Helenair (Barbados),Barbados,N
2699,Helenair Corporation,SaintLucia,N
2700,Helenia Helicopter Service,Denmark,N
2701,Heli Air Services,Bulgaria,N
2702,Heli Ambulance Team,Austria,N
2703,Heli Bernina,Switzerland,N
2704,Heli France,France,Y
2705,Heli Hungary,Hungary,N
2706,Heli Medwest De Mexico,Mexico,N
2707,Heli Securite,France,N
2708,Heli Trip,Mexico,N
2709,Heli Union Heli Prestations,France,N
2710,Heli-Air-Monaco,Monaco,N
2711,Heli-Holland,Netherlands,N
2712,Heli-Iberica,Spain,N
2713,Heli-Iberica Fotogrametria,Spain,N
2714,Heli-Inter Guyane,France,N
2715,Heli-Link,Switzerland,N
2716,Heliamerica De Mexico,Mexico,N
2717,Heliavia-Transporte Aereo,Portugal,N
2718,Heliaviation Limited,UnitedKingdom,N
2719,Helibravo Aviacao,Portugal,N
2720,Helicap,France,N
2721,Helicentre Coventry,UnitedKingdom,N
2722,Helicol,Colombia,N
